time,i_bus_d,i_bus_q,p,q
0.501002004008016,-8.87161230253887,9.83203078626648,8.768716711432544,8.768716711432544
0.503006012024048,-8.871610191072982,9.832033978231317,8.768717976572256,8.768717976572256
0.5050100200400801,-8.871608138628707,9.83203709141685,8.768719216618994,8.768719216618994
0.5070140280561122,-8.87160613846004,9.832040122364615,8.768720422187474,8.768720422187474
0.5090180360721442,-8.871604191126153,9.832043070601006,8.76872159330802,8.76872159330802
0.5110220440881763,-8.871602295392208,9.832045937178373,8.768722729919702,8.768722729919702
0.5130260521042084,-8.871600452815015,9.832048726915279,8.768723838141197,8.768723838141197
0.5150300601202404,-8.871598676666844,9.832051457660945,8.768724947296482,8.768724947296482
0.5170340681362725,-8.87159694440618,9.832054109286922,8.768726017597146,8.768726017597146
0.5190380761523046,-8.871595253652279,9.832056682914246,8.768727048033217,8.768727048033217
0.5210420841683366,-8.871594203263559,9.832059766687651,8.76872914815488,8.76872914815488
0.5230460921843687,-8.871592010488312,9.832061652483391,8.768729056939724,8.768729056939724
0.5250501002004008,-8.87159042346877,9.832063988556703,8.768729945842818,8.768729945842818
0.5270541082164328,-8.871588899688392,9.83206626544596,8.768730832659738,8.768730832659738
0.5290581162324649,-8.871587419377079,9.832068487477024,8.76873170410442,8.76873170410442
0.531062124248497,-8.871585977902923,9.83207065352171,8.768732554958328,8.768732554958328
0.533066132264529,-8.871584571874271,9.832072760304335,8.768733378991806,8.768733378991806
0.5350701402805611,-8.871583202894024,9.832074809107068,8.76873417888746,8.76873417888746
0.5370741482965932,-8.87158187092375,9.83207680166718,8.768734956319243,8.768734956319243
0.5390781563126252,-8.871580575585444,9.832078739992674,8.768735712926045,8.768735712926045
0.5410821643286573,-8.87157931623795,9.832080626026533,8.768736450049365,8.768736450049365
0.5430861723446894,-8.871578092119757,9.83208246154815,8.7687371687631,8.7687371687631
0.5450901803607214,-8.871576902439028,9.83208424818499,8.768737869964854,8.768737869964854
0.5470941883767535,-8.871575780375853,9.832086035905398,8.768738632219868,8.768738632219868
0.5490981963927856,-8.87157461893236,9.832087710657074,8.768739248466936,8.768739248466936
0.5511022044088176,-8.871573520060764,9.832089339009611,8.76873987460549,8.76873987460549
0.5531062124248497,-8.871572464861412,9.832090934935835,8.768740507606731,8.768740507606731
0.5551102204408818,-8.871571440606793,9.83209249629732,8.768741134076809,8.768741134076809
0.5571142284569138,-8.871570442030839,9.832094018899603,8.768741745219831,8.768741745219831
0.5591182364729459,-8.871569470727675,9.832095501685792,8.768742341410865,8.768742341410865
0.561122244488978,-8.871568526459457,9.832096944989662,8.768742922767053,8.768742922767053
0.56312625250501,-8.87156760872061,9.832098349669568,8.76874348968379,8.76874348968379
0.565130260521042,-8.871566716687557,9.832099716645793,8.768744042335236,8.768744042335236
0.567134268537074,-8.871565849352143,9.832101046709942,8.768744580605299,8.768744580605299
0.5691382765531061,-8.871565005639763,9.832102340498723,8.768745104166626,8.768745104166626
0.5711422845691382,-8.871564250976114,9.832103644335039,8.768745716607185,8.768745716607185
0.5731462925851702,-8.871563393650948,9.832104861875257,8.76874615312393,8.76874615312393
0.5751503006012023,-8.871562594457687,9.832106027053833,8.768746589730457,8.768746589730457
0.5771543086172344,-8.871561856312438,9.83210718739282,8.768747075737968,8.768747075737968
0.5791583166332664,-8.871561137200457,9.832108320526261,8.768747551882361,8.768747551882361
0.5811623246492985,-8.871560432021324,9.832109422634064,8.768748009882797,8.768748009882797
0.5831663326653306,-8.871559739908689,9.832110491823885,8.768748447110102,8.768748447110102
0.5851703406813626,-8.871559061866925,9.83211152796927,8.768748864330968,8.768748864330968
0.5871743486973947,-8.871558398938731,9.832112532218352,8.768749263599275,8.768749263599275
0.5891783567134268,-8.871557751692333,9.832113506172236,8.768749646993342,8.768749646993342
0.5911823647294588,-8.871557120316501,9.832114451404909,8.768750016228182,8.768750016228182
0.5931863727454909,-8.87155650482452,9.832115369317224,8.768750372692912,8.768750372692912
0.595190380761523,-8.871555905177011,9.832116261156012,8.76875071757848,8.76875071757848
0.597194388777555,-8.871555352388002,9.832117176132577,8.768751126784272,8.768751126784272
0.5991983967935871,-8.871554747984025,9.832117999814749,8.768751400437955,8.768751400437955
0.6012024048096192,-8.871554188818664,9.832118800057597,8.7687516911796,8.7687516911796
0.6032064128256512,-8.871553656829265,9.832119589404192,8.76875199531732,8.76875199531732
0.6052104208416833,-8.871553139619753,9.832120364365542,8.768752298423435,8.768752298423435
0.6072144288577154,-8.87155263555479,9.832121122099432,8.768752596252646,8.768752596252646
0.6092184368737474,-8.871552144626824,9.832121860781369,8.768752887004386,8.768752887004386
0.6112224448897795,-8.871551667534932,9.832122580224937,8.768753171115547,8.768753171115547
0.6132264529058116,-8.871551204627663,9.832123281064163,8.768753449518725,8.768753449518725
0.6152304609218436,-8.871550755793574,9.832123964085403,8.768753722888201,8.768753722888201
0.6172344689378757,-8.87155032065199,9.8321246299435,8.768753991530103,8.768753991530103
0.6192384769539078,-8.871549898724666,9.832125279121335,8.768754255494922,8.768754255494922
0.6212424849699398,-8.871549552257678,9.83212595875943,8.768754616353723,8.768754616353723
0.6232464929859719,-8.87154909964083,9.83212656838788,8.768754814206842,8.768754814206842
0.625250501002004,-8.87154869602173,9.832127146874294,8.768755024909366,8.768755024909366
0.627254509018036,-8.871548323880784,9.832127718180862,8.768755256478618,8.768755256478618
0.6292585170340681,-8.8715479647656,9.832128282767133,8.768755492996304,8.768755492996304
0.6312625250501002,-8.871547614363958,9.83212883661924,8.768755726690324,8.768755726690324
0.6332665330661322,-8.871547271062708,9.83212937625694,8.768755952707744,8.768755952707744
0.6352705410821643,-8.871546934993608,9.832129899978298,8.768756169492088,8.768756169492088
0.6372745490981964,-8.871546606273716,9.832130407317809,8.768756376689508,8.768756376689508
0.6392785571142284,-8.871546301218338,9.832130916047435,8.768756606247827,8.768756606247827
0.6412825651302605,-8.871546004778464,9.832131411092359,8.768756829994487,8.768756829994487
0.6432865731462926,-8.87154571153653,9.83213188743192,8.76875703818689,8.76875703818689
0.6452905811623246,-8.87155054295201,9.832137167233185,8.768766515572015,8.768766515572015
0.6472945891783567,-8.87154516322335,9.832132834598516,8.768757483015094,8.768757483015094
